,Beam_Lng,Beam_Lat,Beamwidth,Demand
0,111.86280916566,-33.10905368365698,0.6,89356.68000000002
1,137.0091162225613,-10.548632465324616,0.6,45588.2
2,110.31192237734876,-27.289295045804213,0.6,79840.04
3,145.77937364109525,-12.81444957184186,0.6,94469.55000000005
4,146.14823728314462,-29.55811538713591,0.6,92484.84
5,121.85838017072548,-16.79102017499894,0.6,48554.52
6,125.00197256409308,-17.462258732284624,0.6,80750.6
7,144.55758118403065,-37.52734536071256,0.6,73019.80000000002
8,127.50438418642705,-41.86451941453233,0.6,129939.78999999998
9,112.0094597725594,-11.884609134637468,0.6,57741.600000000006
10,144.31378294233156,-41.45160652573527,0.6,108617.44000000005
11,120.01122165782662,-38.99453622344419,0.6,107186.80000000002
12,110.04174747422051,-42.56997001088887,0.6,100565.15
13,126.33249082045316,-14.024754471109702,0.6,59999.8
14,122.5112669477534,-23.264618270927947,0.6,58611.06999999999
15,157.89557507374238,-20.499806353958977,0.6,94116.12
16,116.80088473304008,-41.38725529093413,0.6,94507.35
17,127.49277368855606,-38.468200107635525,0.6,72130.8
18,141.0813279168596,-21.478908683794792,0.6,80048.15000000001
19,131.9452494334959,-16.155820571035125,0.6,43616.16
20,146.7952937460761,-33.92117518651704,0.6,68922.27999999998
21,131.59545245361633,-41.56765767079958,0.6,55551.720000000016
22,108.1681259858984,-17.309716495991914,0.6,53259.64
23,136.3097119009326,-21.75758034949904,0.6,72796.08
24,148.87231545877523,-43.13889214374584,0.5,85664.11000000002
25,144.4020608398352,-22.4397564764288,0.6,82460.28000000001
26,145.7289649092016,-17.51231654663713,0.6,64311.03
27,134.39228239268107,-19.46738505967348,0.6,77706.51000000004
28,157.59601242003438,-35.438994883625064,0.6,130778.76
29,158.2884255332906,-26.13034266954692,0.6,70052.36000000002
30,150.67391790450503,-14.403468090425394,0.6,55542.75999999999
31,106.3756203573446,-10.674167660581222,0.6,58591.40000000001
32,148.74990862422476,-10.924897176227052,0.6,71228.64000000001
33,121.04957582243112,-42.05001026795783,0.6,61140.80000000001
34,128.61313201941232,-23.015332017322475,0.6,66764.59999999999
35,111.4126371722774,-14.922568244577482,0.6,41172.03999999999
36,157.53242274545113,-29.75501115858717,0.6,110897.92
37,154.24102254249777,-19.353146689226225,0.6,77133.28000000003
38,136.88423066379224,-26.79799568193816,0.6,75188.12
39,148.74197921438926,-19.48693939383953,0.6,81077.63999999998
40,106.48296709336856,-41.794916062191625,0.6,72343.67
41,141.88428259111126,-30.56098088669426,0.6,76081.04
42,137.86808499654487,-18.604946238086185,0.6,39205.32000000001
43,141.98443343243747,-33.47632525395904,0.6,95219.6
44,123.66529510575224,-26.66833843579677,0.6,54737.27
45,115.93949411401618,-38.39417165183929,0.6,56666.96000000001
46,111.87492797956308,-23.14144454378177,0.6,82011.79000000001
47,153.67212753837848,-23.72801854192185,0.6,57678.32
48,140.9544841649476,-26.18725834599729,0.6,66246.88000000002
49,140.80060651002742,-12.3969154953726,0.6,47019.84000000001
50,122.5545674415066,-10.44802852636851,0.6,61980.66000000001
51,119.84123552273547,-27.76507953225423,0.6,50162.560000000005
52,113.5957402159096,-25.704789385641504,0.6,59730.43999999999
53,110.4256559905931,-19.61562430038054,0.6,95990.72
54,149.9474931394568,-23.521016508233835,0.6,50639.96000000001
55,126.11889785977768,-29.77430444272421,0.6,88186.91000000003
56,141.81400066495158,-10.20877431281284,0.6,38756.83
57,152.44104048666813,-11.154048094399052,0.6,45647.560000000005
58,114.38181929922916,-19.432718489417155,0.6,82469.80000000003
59,133.76872311227405,-36.74309884963698,0.6,88351.48
60,123.45917330894218,-36.936864559289184,0.6,59649.100000000006
61,156.12010328338548,-22.66455694111806,0.6,54833.03
62,111.1531531171511,-29.77203125220242,0.6,67157.51000000001
63,115.25866028200178,-22.522942160418943,0.6,44232.72000000001
64,106.7263494036176,-27.68060544664703,0.6,66015.32000000002
65,130.66504440499222,-18.32276529417297,0.6,54566.96000000003
66,111.1543341996138,-36.59037623016599,0.6,59865.68000000001
67,148.17601729478034,-16.244401633560653,0.6,45762.22
68,140.31217862231676,-38.52659713347167,0.6,77989.59000000001
69,148.8511414414739,-39.77091132030965,0.6,84129.19999999998
70,149.16138063435358,-27.649288184685307,0.6,55166.72
71,138.2475954726124,-14.040448993847152,0.6,58243.640000000014
72,135.12544616619215,-42.79985629424718,0.6,70802.48
73,106.17293917426323,-13.3762207116155,0.6,65536.79999999999
74,151.4057789400852,-31.88154852382921,0.6,80077.76
75,119.3453171693655,-18.08878819276324,0.6,53800.04000000001
76,155.79264745938855,-11.268664294141114,0.6,80702.16000000002
77,140.1245821854312,-16.634597726729428,0.6,39793.600000000006
78,118.3564135674929,-12.88066054694328,0.6,60358.20000000001
79,136.8221607427853,-30.525341974866688,0.6,92225.91
80,115.63866971063086,-32.37753404535527,0.6,71842.96000000002
81,118.51924783391458,-21.52509447424081,0.6,56423.92
82,108.03038133610362,-32.642807060441115,0.6,86831.43
83,114.14464628907989,-28.674085234257785,0.6,50683.92000000001
84,136.5197171830976,-39.41986793807136,0.6,50380.68
85,154.26624855957272,-14.597951488884394,0.6,49998.20000000001
86,146.4891208651356,-32.00737455951276,0.6,51104.76
87,129.0993935919833,-15.56603966826873,0.6,29498.840000000007
88,131.35195084623916,-25.39453365872298,0.6,58689.96000000001
